0.03;28,249;7142;28,211
0.005;31,864;3304;27,505
0.01;33,360;4585;30,540
0.01;31,881;4503;29,935
0.01;28,467;4857;27,725
0.0075;29,199;5765;28,409
0.005;32,975;3237;28,481
0.005;28,052;5300;27,398
0.0075;33,024;3576;29,121
0.01;32,761;3987;29,805
0.0075;30,095;4875;28,682
0.003;32,510;4225;28,998
0.03;26,356;7998;26,355
0.01;29,266;5149;28,285
0.005;31,327;5218;30,147
0.005;31,458;4483;28,617
0.01;31,733;4552;29,514
0.03;28,803;7205;28,775
0.0075;30,641;4843;29,351
0.005;29,265;6197;28,936
0.03;30,077;6854;29,996
0.03;30,073;7406;30,046
0.01;34,013;4003;31,150
0.03;28,779;7991;28,779
