28,004;19974;28,004
32,471;19898;32,471
33,057;19998;33,057
30,753;19953;30,751
24,175;19998;24,175
28,116;19999;28,116
29,372;19997;29,372
25,459;19953;25,458
31,529;19999;31,529
30,932;19969;30,932
29,046;19917;29,044
33,027;19985;33,027
24,015;19999;24,015
27,020;19991;27,020
31,672;19985;31,671
31,419;19989;31,418
29,587;19998;29,587
26,639;19994;26,639
29,067;19924;29,065
30,913;18216;26,285
28,074;19999;28,074
29,600;19998;29,600
31,360;19893;31,358
26,540;19999;26,540
29,244;19901;29,050
