0.00025;28,014;22948;28,002
0.00025;32,502;23173;32,481
0.00025;33,086;29519;33,083
0.0001;30,922;17294;30,714
0.0001;24,689;29947;24,689
0.0001;28,291;23532;28,260
0.0001;29,876;17218;29,702
0.0001;25,954;29884;25,953
0.00025;31,567;29714;31,566
0.00025;31,032;29891;31,031
0.00025;29,163;29999;29,163
0.00025;33,104;29707;33,102
0.0001;24,388;29959;24,388
0.0001;27,400;29309;27,399
0.00025;31,717;29988;31,716
0.00025;31,470;29961;31,470
0.0001;29,710;20543;29,615
0.0001;26,948;28770;26,944
0.0001;29,562;22354;29,504
0.00025;31,154;29918;31,151
0.0001;28,289;24233;28,265
0.00025;29,690;29993;29,690
0.00025;31,455;29326;31,450
0.0001;26,734;29896;26,733
