27,996;16524;27,803
32,001;13341;31,423
32,860;15542;32,426
30,922;17294;30,714
24,689;29947;24,689
28,291;23532;28,260
29,876;17218;29,702
25,954;29884;25,953
31,509;16846;31,200
30,904;18493;30,719
29,145;20583;29,075
32,835;15688;32,369
24,388;29959;24,388
27,400;29309;27,399
31,668;18781;31,470
31,344;17375;31,112
29,710;20543;29,615
26,948;28770;26,944
29,562;22354;29,504
31,095;23763;31,059
28,289;24233;28,265
29,584;19868;29,483
31,414;19986;31,280
26,734;29896;26,733
29,380;21655;29,233
